scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Scomber scombrus,Fresh,gutted and headed,5,4,4,1.47,1.11,0.36
Scomber scombrus,Frozen,gutted and headed,5,4,4,1.47,1.11,0.36
Hoplostethus atlanticus,Fresh,gutted and headed,3,1,2,2,1.65,0.35
Melanogrammus aeglefinus,Fresh,headed,3,2,2,1.7,1.35,0.35
Platichthys flesus,Fresh,gutted and headed,3,2,2,1.39,1.04,0.35
Cetorhinus maximus,Fresh,gutted,2,1,1,1.33,1,0.33
Clupea harengus,Fresh,filleted,4,4,4,2.33,2,0.33
Merluccius merluccius,Frozen,gutted and headed,7,5,5,1.67,1.34,0.33
Gadus morhua,Fresh,headed,4,2,2,1.7,1.38,0.32
Sardina pilchardus,Frozen,gutted and headed,2,2,2,1.5,1.18,0.32
Molva dypterygia,Fresh,gutted and headed,8,6,6,1.64,1.32,0.32
Gadus morhua,Frozen,gutted and headed,11,7,7,1.71,1.4,0.31
Genypterus capensis,Frozen,gutted and headed,4,2,4,1.71,1.4,0.31
Pollachius pollachius,Frozen,gutted and headed,5,3,3,1.51,1.2,0.31
Merlangius merlangus,Fresh,filleted,2,1,1,2.7,2.4,0.3
Platichthys flesus,Fresh,filleted,3,2,2,2.7,2.4,0.3
Pleuronectes platessa,Fresh,filleted skinned,3,1,1,2.7,2.4,0.3
Scophthalmus maximus,Fresh,filleted,2,1,1,2.7,2.4,0.3
Scophthalmus rhombus,Fresh,filleted,2,1,1,2.7,2.4,0.3
Gadiformes,Frozen,gutted and headed,3,1,2,1.5,1.2,0.3
Solea solea,Fresh,gutted and headed,3,2,2,1.5,1.2,0.3
Xiphias gladius,Frozen,gutted and headed,6,4,4,1.6,1.3,0.3
Gadus morhua,Salted,salted wet light,2,1,1,3,2.7,0.3
Merlangius merlangus,Fresh,filleted skinned,3,1,1,2.8,2.5,0.3
Merlangius merlangus,Frozen,filleted,2,1,1,3,2.7,0.3
Nephrops norvegicus,Fresh,tail only (squid),4,3,3,3.3,3,0.3
Trachinus draco,Fresh,gutted,3,2,2,1.4,1.1,0.3
Anarhichas spp,Fresh,gutted and headed,3,2,2,1.81,1.52,0.29
Merlangius merlangus,Fresh,gutted and headed,6,4,4,1.69,1.4,0.29
Merlangius merlangus,Frozen,gutted and headed,3,1,1,1.69,1.4,0.29
Molva molva,Frozen,gutted and headed,7,4,4,1.54,1.25,0.29
Squalidae,Fresh,gutted,6,5,5,1.37,1.1,0.27
Squalus acanthias,Fresh,gutted,8,6,6,1.37,1.1,0.27
Urophycis tenius,Frozen,gutted and headed,2,2,2,1.67,1.4,0.27
Merluccius spp,Frozen,gutted and headed,2,1,2,1.65,1.39,0.26
Scomber scombrus,Fresh,filleted,2,2,2,2.86,2.6,0.26
Pollachius virens,Fresh,gutted and headed,9,7,7,1.6,1.35,0.25
Squalus acanthias,Fresh,filleted,2,1,1,2.95,2.7,0.25
Carcharhinidae,Fresh,gutted,3,1,2,1.33,1.1,0.23
Hippoglossoides platessoides,Frozen,gutted and headed,4,2,2,1.43,1.2,0.23
Lamna nasus,Fresh,gutted,6,4,4,1.33,1.1,0.23
Reinhardtius hippoglossoides,Frozen,gutted and headed,9,8,8,1.43,1.2,0.23
Selachimorpha(pleurotremata),Fresh,gutted,3,1,1,1.37,1.15,0.22
Pollachius virens,Frozen,gutted and headed,6,3,4,1.57,1.35,0.22
Thunnus thynnus,Frozen,gutted and headed,2,1,1,1.5,1.28,0.22
Xiphias gladius,Frozen,gutted,3,3,3,1.33,1.11,0.22
Clupea harengus,Fresh,gutted,5,5,5,1.25,1.04,0.21
Pollachius virens,Frozen,filleted skinned,4,2,3,2.94,2.73,0.21
Thunnus alalunga,Frozen,gutted and headed,3,3,3,1.5,1.29,0.21
Galeorhinus galeus,Fresh,gutted,2,1,1,1.33,1.13,0.2
Melanogrammus aeglefinus,Frozen,gutted and headed,5,3,3,1.6,1.4,0.2
Mugilidae,Frozen,gutted and headed,2,1,2,1.6,1.4,0.2
Squatina squatina,Fresh,gutted,2,1,1,1.33,1.13,0.2
Anarhichas lupus,Fresh,gutted,8,6,6,1.3,1.1,0.2
Anarhichas spp,Fresh,gutted,9,6,7,1.3,1.1,0.2
Aphanopus carbo,Fresh,gutted,2,2,2,1.24,1.04,0.2
Dicentrachurus labrax,Fresh,gutted,3,2,2,1.3,1.1,0.2
Osteichthyes,Fresh,gutted,7,5,7,1.2,1,0.2
Osteichthyes,Frozen,gutted,3,1,2,1.2,1,0.2
Pagellus spp,Frozen,gutted and headed,2,2,2,1.8,1.6,0.2
Phycis blennoides,Frozen,gutted and headed,4,2,2,1.4,1.2,0.2
Pleuronectiformes,Frozen,gutted and headed,3,1,2,1.4,1.2,0.2
Sebastes spp,Frozen,gutted,8,5,5,1.2,1,0.2
Triglidae,Fresh,gutted,3,3,3,1.24,1.04,0.2
Xiphias gladius,Fresh,gutted,4,3,3,1.31,1.11,0.2
Glyptocephalus cynoglossus,Fresh,gutted and headed,3,2,2,1.39,1.2,0.19
Glyptocephalus cynoglossus,Frozen,gutted and headed,3,2,2,1.39,1.2,0.19
Microstomus kitt,Fresh,gutted and headed,2,1,1,1.39,1.2,0.19
Pleuronectes platessa,Fresh,gutted and headed,4,3,3,1.39,1.2,0.19
Pleuronectes platessa,Fresh,headed,2,1,1,1.39,1.2,0.19
Pleuronectes platessa,Frozen,gutted and headed,3,1,1,1.39,1.2,0.19
Pleuronectiformes,Fresh,gutted and headed,2,1,1,1.39,1.2,0.19
Psette maxima,Frozen,gutted and headed,2,1,1,1.39,1.2,0.19
Reinhardtius hippoglossoides,Fresh,gutted and headed,6,4,4,1.39,1.2,0.19
Squalus acanthias,Fresh,gutted and headed,4,2,2,1.44,1.25,0.19
Thunnus obesus,Fresh,gutted,2,2,2,1.3,1.11,0.19
Thunnus obesus,Fresh,gutted and headed,2,2,2,1.29,1.1,0.19
Argentina spp,Frozen,gutted and headed,2,1,1,1.18,1,0.18
Clupea harengus,Frozen,gutted and headed,2,1,1,1.18,1,0.18
Molva dypterygia,Frozen,gutted and headed,7,5,5,1.5,1.32,0.18
Sprattus sprattus,Fresh,gutted,3,3,3,1.18,1,0.18
Xiphias gladius,Fresh,gutted gilled,4,4,4,1.3,1.12,0.18
Aphanopus carbo,Fresh,gutted and headed,3,2,2,1.56,1.395,0.165
Melanogrammus aeglefinus,Fresh,gutted and headed,8,6,6,1.54,1.38,0.16
Gadus morhua,Frozen,headed,2,2,2,1.7,1.54,0.16
Raja spp,Fresh,gutted,8,6,6,1.21,1.05,0.16
Squalidae,Frozen,gutted,2,1,2,1.26,1.1,0.16
Brosme brosme,Frozen,filleted,2,1,1,2.7,2.55,0.15
Anarhichas lupus,Frozen,gutted,3,2,2,1.3,1.15,0.15
Lophidae,Fresh,gutted,8,7,7,1.3,1.15,0.15
Aphanopus carbo,Frozen,gutted and headed,4,3,3,1.4,1.25,0.15
Conger conger,Fresh,gutted,6,4,4,1.25,1.1,0.15
Coryphaenoides rupestris,Fresh,gutted,5,3,3,1.26,1.11,0.15
Micromesistius poutassou,Frozen,gutted,4,3,3,1.15,1,0.15
Mugilidae,Fresh,gutted,5,3,4,1.25,1.1,0.15
Sebastes marinus,Frozen,gutted,2,1,1,1.2,1.05,0.15
Trichiurus lepturus,Frozen,gutted and headed,3,2,2,1.34,1.2,0.14
Urophycis tenuis,Fresh,gutted,2,1,2,1.34,1.2,0.14
Lamna nasus,Frozen,gutted and headed,2,1,1,1.44,1.3,0.14
Melanogrammus aeglefinus,Fresh,gutted,15,10,11,1.25,1.11,0.14
Molva dypterygia,Fresh,gutted,9,6,6,1.25,1.11,0.14
Pollachius virens,Fresh,gutted,15,10,11,1.25,1.11,0.14
Selachimorpha(pleurotremata),Frozen,gutted and headed,2,1,1,1.44,1.3,0.14
Beryx spp,Fresh,gutted,2,2,2,1.2,1.07,0.13
Merlangius merlangus,Fresh,gutted,13,10,10,1.21,1.08,0.13
Platichthys flesus,Fresh,gutted,9,8,8,1.18,1.05,0.13
Raja spp,Fresh,gutted and headed,2,1,1,1.63,1.5,0.13
Thunnus thynnus,Fresh,gutted,4,2,2,1.13,1,0.13
Salmo salar,Fresh,gutted,12,9,10,1.22,1.1,0.12
Reinhardtius hippoglossoides,Frozen,filleted skinned,3,2,2,2.7,2.59,0.11
Squalus acanthias,Fresh,filleted skinned,2,1,1,2.7,2.59,0.11
Osteichthyes,Frozen,gutted headed tail off,2,1,2,1.6,1.49,0.11
Selachimorpha(pleurotremata),Frozen,gutted,2,1,1,1.37,1.26,0.11
Squalus acanthias,Frozen,gutted,2,1,1,1.37,1.26,0.11
Trachurus trachurus,Fresh,gutted and headed,2,1,1,1.55,1.44,0.11
Hippoglossus hippoglossus,Fresh,gutted,12,9,9,1.15,1.04,0.11
Pollachius pollachius,Fresh,gutted,11,9,9,1.22,1.11,0.11
Solea solea,Fresh,gutted,12,10,10,1.15,1.04,0.11
Gadus morhua,Fresh,gutted,17,12,13,1.25,1.15,0.1
Gadus morhua,Frozen,gutted headed tail off,3,3,3,1.82,1.72,0.1
Lepidorhombus spp,Frozen,filleted,2,1,1,2.6,2.5,0.1
Lophiidae,Frozen,gutted,5,4,4,1.28,1.18,0.1
Lophius piscatorius,Fresh,gutted,8,6,6,1.3,1.2,0.1
Lophius spp,Fresh,gutted,2,2,2,1.3,1.2,0.1
Mallotus villosus,Fresh,gutted,3,3,3,1.1,1,0.1
Microstomus kitt,Fresh,filleted,2,1,1,2.5,2.4,0.1
Mugilidae,Frozen,gutted headed tail off,2,1,2,1.5,1.4,0.1
Osmerus eperlanus,Fresh,gutted,2,2,2,1.1,1,0.1
Pleuronectes platessa,Frozen,filleted,2,1,1,2.7,2.6,0.1
Rajiformes,Frozen,gutted and headed,2,1,1,1.6,1.5,0.1
Reinhardtius hippoglossoides,Frozen,Japanese cut tail off,4,3,3,1.5,1.4,0.1
Salmo salar,Fresh,whole,4,4,4,1.1,1,0.1
Hoplostethus atlanticus,Fresh,gutted,4,2,3,1.2,1.1,0.0999999999999999
Molva molva,Fresh,gutted,13,10,10,1.2,1.1,0.0999999999999999
Molva molva,Frozen,gutted,5,3,3,1.2,1.1,0.0999999999999999
Pollachius virens,Frozen,gutted,6,3,4,1.22,1.12,0.0999999999999999
Reinhardtius hippoglossoides,Frozen,gutted,7,5,5,1.15,1.05,0.0999999999999999
Scophthalmus rhombus,Fresh,gutted,11,9,9,1.15,1.05,0.0999999999999999
Sebastes spp,Fresh,gutted,6,5,5,1.2,1.1,0.0999999999999999
Sebastes spp,Frozen,Japanese cut tail off,2,2,2,1.9,1.8,0.0999999999999999
Thunnus albacares,Fresh,gutted,3,2,3,1.2,1.1,0.0999999999999999
Anguilla anguilla,Fresh,gutted,4,2,2,1.13,1.04,0.0899999999999999
Brosme brosme,Fresh,gutted,11,7,8,1.2,1.11,0.0899999999999999
Brosme brosme,Frozen,gutted,6,3,3,1.2,1.11,0.0899999999999999
Coryphaenoides rupestris,Frozen,gutted,6,3,3,1.2,1.11,0.0899999999999999
Hippoglossus hippoglossus,Frozen,gutted and headed,3,2,2,1.44,1.35,0.0899999999999999
Macrourus berglax,Fresh,gutted,2,1,1,1.2,1.11,0.0899999999999999
Merluccius merluccius,Fresh,gutted,13,10,10,1.2,1.11,0.0899999999999999
Phycis blennoides,Fresh,gutted,5,3,3,1.2,1.11,0.0899999999999999
Reinhardtius hippoglossoides,Fresh,headed,3,1,1,1.4,1.31,0.0899999999999999
Thunnini,Fresh,gutted,2,2,2,1.2,1.11,0.0899999999999999
Thunnus alalunga,Fresh,gutted,5,4,4,1.2,1.11,0.0899999999999999
Thunnus obesus,Fresh,gutted gilled,3,3,3,1.2,1.11,0.0899999999999999
Trisopterus luscus,Fresh,gutted,5,4,4,1.21,1.12,0.0899999999999999
Lamna nasus,Fresh,gutted and headed,3,2,2,1.33,1.25,0.0800000000000001
Merluccius hubbsi,Frozen,gutted and headed,2,1,2,1.61,1.53,0.0800000000000001
Pollachius pollachius,Frozen,gutted,5,3,3,1.22,1.14,0.0800000000000001
Raja spp,Frozen,gutted,3,1,1,1.21,1.13,0.0800000000000001
Rajidae,Fresh,gutted,2,2,2,1.21,1.13,0.0800000000000001
Rajidae,Frozen,gutted,3,2,2,1.21,1.13,0.0800000000000001
Scomber scombrus,Frozen,gutted headed tail off,2,2,2,1.62,1.54,0.0800000000000001
Sebastes spp,Frozen,gutted headed tail off,2,2,2,1.98,1.9,0.0800000000000001
Limanda limanda,Fresh,gutted,12,10,10,1.13,1.05,0.0799999999999998
Molva dypterygia,Frozen,gutted,5,3,3,1.2,1.12,0.0799999999999998
