species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
LBE,FRE,TOTAL,TPW,TOTAL,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR,EU,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR,MT,MT	1739.7977 	810 	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR,TOTAL,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR_T,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR_T,EU,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR_T,MT,MT	22022.756 	16530.612 	23000 	: 	: 	: 	15000 	16500 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,EUR_T,TOTAL,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,TPW,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,TPW,EU,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,TPW,MT,MT	0.079 	0.049 	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,HCN,TPW,TOTAL,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR,EU,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR,MT,MT	1739.7977 	810 	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR,TOTAL,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR_T,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR_T,EU,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR_T,MT,MT	22022.756 	16530.612 	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,TPW,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,TPW,EU,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,TPW,MT,MT	0.079 	0.049 	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,FRE_WHL,TOTAL,TPW,TOTAL,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR,EU,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR,MT,MT	1739.7977 	810 	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR,TOTAL,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR_T,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR_T,EU,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR_T,MT,MT	22022.756 	16530.612 	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,EUR_T,TOTAL,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,TPW,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,TPW,EU,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,TPW,MT,MT	0.079 	0.049 	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,HCN,TPW,TOTAL,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR,EU,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR,MT,MT	1739.7977 	810 	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR,TOTAL,MT	: c	: c	92 	: 	: 	: 	450 	0 	1631 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR_T,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR_T,EU,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR_T,MT,MT	22022.756 	16530.612 	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,EUR_T,TOTAL,MT	: c	: c	23000 	: 	: 	: 	15000 	: 	16310 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,TPW,CY,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,TPW,EU,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,TPW,MT,MT	0.079 	0.049 	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBE,TOTAL,TOTAL,TPW,TOTAL,MT	: c	: c	0.004 	: 	: 	: 	0.03 	0 	0.1 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,HCN,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE,TOTAL,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,HCN,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,FRE_WHL,TOTAL,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,HCN,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR,EU,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR,MT,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR,TOTAL,MT	: 	29791.9996 	48356.5278 	62750.007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR_T,EU,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR_T,MT,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,EUR_T,TOTAL,MT	: 	21510.469 	20852.319 	25049.903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,TPW,EU,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,TPW,MT,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LBS,TOTAL,TOTAL,TPW,TOTAL,MT	: 	1.385 	2.319 	2.505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,EUR_T,TOTAL,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,TPW,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,TPW,EU,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,TPW,MT,MT	0.656 	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,HCN,TPW,TOTAL,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,EUR_T,TOTAL,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,TPW,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,TPW,EU,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,TPW,MT,MT	0.656 	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE,TOTAL,TPW,TOTAL,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,EUR_T,TOTAL,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,TPW,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,TPW,EU,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,TPW,MT,MT	0.656 	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,HCN,TPW,TOTAL,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,TPW,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,TPW,EU,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,TPW,MT,MT	0.656 	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,FRE_WHL,TOTAL,TPW,TOTAL,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,EUR_T,TOTAL,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,TPW,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,TPW,EU,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,TPW,MT,MT	0.656 	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,HCN,TPW,TOTAL,MT	: c	: 	0.003 	0.001 	0.377 	0.7172 	: 	0.3 	0.35 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR,EU,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR,MT,MT	4395.12 	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR,TOTAL,MT	: c	: 	15 	18 	2262 	4764.3662 	: 	2486.16 	1750 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR_T,CY,MT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR_T,EU,MT	: c	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
LDB,TOTAL,TOTAL,EUR_T,MT,MT	6699.878 	: 	5000 	18000 	6000 	6643 	: 	8287.2 	5000 	: 	: 	: 	: 	: 	: 	: 
