species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AGN,FRE,TOTAL,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,HCN,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE_WHL,TOTAL,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,HCN,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,TOTAL,TOTAL,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR,EU,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
