species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ACC,FRE,ANF,EUR_T,TOTAL,EE	: 	: 	: 	: 	129.75 	189.64 	195.67 	162.99 	125.69 	93.93 	63.34 	: 	: 	: 
ACC,FRE,ANF,TPW,EE,EE	: 	: 	: 	: 	35.3 	38.76 	51.18 	60.8 	32.36 	24.98 	20.14 	: 	: 	: 
ACC,FRE,ANF,TPW,EU,EE	: 	: 	: 	: 	35.3 	38.76 	51.18 	60.8 	32.36 	24.98 	20.14 	: 	: 	: 
ACC,FRE,ANF,TPW,TOTAL,EE	: 	: 	: 	: 	35.3 	38.76 	51.18 	60.8 	32.36 	24.98 	20.14 	: 	: 	: 
ACC,FRE,HCN,EUR,EE,EE	10187.1607 	9589.6176 	7341.4613 	5162.4703 	: 	: 	: 	: 	: 	: 	: 	1736.952 	: 	: 
ACC,FRE,HCN,EUR,EU,EE	10187.1607 	9589.6176 	7341.4613 	5162.4703 	: 	: 	: 	: 	: 	: 	: 	1736.952 	: 	: 
ACC,FRE,HCN,EUR,TOTAL,EE	10187.1607 	9589.6176 	7341.4613 	5162.4703 	: 	: 	: 	: 	: 	: 	: 	1736.952 	: 	: 
ACC,FRE,HCN,EUR_T,EE,EE	209.0596 	223.4967 	196.502 	213.59 	: 	: 	: 	: 	: 	: 	: 	102.9 	: 	: 
ACC,FRE,HCN,EUR_T,EU,EE	209.0596 	223.4967 	196.502 	213.59 	: 	: 	: 	: 	: 	: 	: 	102.9 	: 	: 
ACC,FRE,HCN,EUR_T,TOTAL,EE	209.0596 	223.4967 	196.502 	213.59 	: 	: 	: 	: 	: 	: 	: 	102.9 	: 	: 
ACC,FRE,HCN,TPW,EE,EE	48.7285 	42.9072 	37.3608 	24.17 	: 	: 	: 	: 	: 	: 	: 	16.88 	: 	: 
ACC,FRE,HCN,TPW,EU,EE	48.7285 	42.9072 	37.3608 	24.17 	: 	: 	: 	: 	: 	: 	: 	16.88 	: 	: 
ACC,FRE,HCN,TPW,TOTAL,EE	48.7285 	42.9072 	37.3608 	24.17 	: 	: 	: 	: 	: 	: 	: 	16.88 	: 	: 
ACC,FRE,TOTAL,EUR,EE,EE	10187.1607 	9589.6176 	7341.4613 	5162.4703 	4580.175 	7350.4464 	10014.3906 	9909.792 	4067.3284 	2346.3714 	1275.6676 	1736.952 	: 	: 
ACC,FRE,TOTAL,EUR,EU,EE	10187.1607 	9589.6176 	7341.4613 	5162.4703 	4580.175 	7350.4464 	10014.3906 	9909.792 	4067.3284 	2346.3714 	1275.6676 	1736.952 	: 	: 
