species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
FXX,TOTAL,HCN,EUR_T,EU,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,HCN,EUR_T,HR,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,HCN,EUR_T,TOTAL,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,HCN,TPW,EU,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,HCN,TPW,HR,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,HCN,TPW,TOTAL,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR,EU,HR	820.976 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR,HR,HR	820.976 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR,TOTAL,HR	820.976 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR_T,EU,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR_T,HR,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,EUR_T,TOTAL,HR	8209.7598 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,TPW,EU,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,TPW,HR,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
FXX,TOTAL,TOTAL,TPW,TOTAL,HR	0.1 	: 	: 	: 	: 	: 	: 	: 
GAR,FRE,HCN,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,HCN,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,HCN,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,HCN,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,HCN,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,HCN,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,HCN,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE,HCN,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE,HCN,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE,TOTAL,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,TOTAL,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,TOTAL,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE,TOTAL,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,TOTAL,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,TOTAL,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE,TOTAL,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE,TOTAL,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE,TOTAL,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,HCN,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,HCN,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,HCN,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,HCN,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,HCN,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,HCN,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,HCN,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,HCN,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,HCN,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,TOTAL,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,TOTAL,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,TOTAL,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,FRE_WHL,TOTAL,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,TOTAL,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,FRE_WHL,TOTAL,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,TOTAL,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,FRE_WHL,TOTAL,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,HCN,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,HCN,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,HCN,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,HCN,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,HCN,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,HCN,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,HCN,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,HCN,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,HCN,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,TOTAL,EUR,EU,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,TOTAL,EUR,HR,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,TOTAL,EUR,TOTAL,HR	2527.0444 	7133.1409 	6145.9747 	4151.2425 	8622.9705 	6811.0056 	7199.0376 	8331.4961 
GAR,TOTAL,TOTAL,EUR_T,EU,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,TOTAL,EUR_T,HR,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,TOTAL,EUR_T,TOTAL,HR	1486.4967 	2179.7888 	1440.2254 	2302.5362 	2315.5441 	1610.1668 	2080.6467 	1787.8747 
GAR,TOTAL,TOTAL,TPW,EU,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,TOTAL,TPW,HR,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAR,TOTAL,TOTAL,TPW,TOTAL,HR	1.7 	3.2724 	4.2674 	1.8029 	3.724 	4.23 	3.46 	4.66 
GAS,FRE,HCN,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,HCN,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,HCN,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,HCN,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,HCN,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,HCN,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,HCN,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE,HCN,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE,HCN,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE,TOTAL,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,TOTAL,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,TOTAL,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE,TOTAL,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,TOTAL,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,TOTAL,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE,TOTAL,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE,TOTAL,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE,TOTAL,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,HCN,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,HCN,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,HCN,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,HCN,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,HCN,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,HCN,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,HCN,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,HCN,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,HCN,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,TOTAL,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,TOTAL,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,TOTAL,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,FRE_WHL,TOTAL,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,TOTAL,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,FRE_WHL,TOTAL,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,TOTAL,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,FRE_WHL,TOTAL,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,HCN,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,HCN,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,HCN,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,HCN,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,HCN,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,HCN,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,HCN,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,HCN,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,HCN,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,TOTAL,EUR,EU,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,TOTAL,EUR,HR,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,TOTAL,EUR,TOTAL,HR	6837.3954 	7731.5395 	2425.7276 	951.4693 	280.2267 	203.7264 	353.6435 	31.6037 
GAS,TOTAL,TOTAL,EUR_T,EU,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,TOTAL,EUR_T,HR,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,TOTAL,EUR_T,TOTAL,HR	4021.9973 	4265.9123 	4366.3534 	3584.3637 	1568.5791 	1697.7199 	5052.0494 	3160.371 
GAS,TOTAL,TOTAL,TPW,EU,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,TOTAL,TPW,HR,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GAS,TOTAL,TOTAL,TPW,TOTAL,HR	1.7 	1.8124 	0.5556 	0.2655 	0.1787 	0.12 	0.07 	0.01 
GPX,FRE,HCN,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,HCN,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,HCN,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,HCN,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,HCN,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,HCN,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,HCN,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE,HCN,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE,HCN,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE,TOTAL,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,TOTAL,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,TOTAL,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE,TOTAL,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,TOTAL,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,TOTAL,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE,TOTAL,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE,TOTAL,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE,TOTAL,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,HCN,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,HCN,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,HCN,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,HCN,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,HCN,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,HCN,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,HCN,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,HCN,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,HCN,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,TOTAL,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,TOTAL,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,TOTAL,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,FRE_WHL,TOTAL,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,TOTAL,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,FRE_WHL,TOTAL,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,TOTAL,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,FRE_WHL,TOTAL,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,HCN,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,HCN,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,HCN,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,HCN,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,HCN,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,HCN,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,HCN,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,HCN,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,HCN,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,TOTAL,EUR,EU,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,TOTAL,EUR,HR,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,TOTAL,EUR,TOTAL,HR	4149.7119 	2824.6535 	1661.95 	2472.3941 	2643.4272 	5239.5266 	740.2981 	11804.4092 
GPX,TOTAL,TOTAL,EUR_T,EU,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,TOTAL,EUR_T,HR,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,TOTAL,EUR_T,TOTAL,HR	13832.3731 	15837.6985 	10955.5042 	12331.1425 	12681.3489 	13098.8164 	8225.5341 	10731.2811 
GPX,TOTAL,TOTAL,TPW,EU,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,TOTAL,TPW,HR,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GPX,TOTAL,TOTAL,TPW,TOTAL,HR	0.3 	0.1784 	0.1517 	0.2005 	0.2085 	0.4 	0.09 	1.1 
GRO,FRE,HCN,EUR,EU,HR	21962.1735 	71982.0423 	95588.4924 	114105.3326 	181394.1769 	287485.2073 	720152.3491 	1171693.237 
GRO,FRE,HCN,EUR,HR,HR	21962.1735 	71982.0423 	95588.4924 	114105.3326 	181394.1769 	287485.2073 	720152.3491 	1171693.237 
GRO,FRE,HCN,EUR,TOTAL,HR	21962.1735 	71982.0423 	95588.4924 	114105.3326 	181394.1769 	287485.2073 	720152.3491 	1171693.237 
GRO,FRE,HCN,EUR_T,EU,HR	976.0966 	3004.057 	2519.6766 	1906.4712 	2623.2042 	2251.6072 	2054.0569 	2607.8774 
GRO,FRE,HCN,EUR_T,HR,HR	976.0966 	3004.057 	2519.6766 	1906.4712 	2623.2042 	2251.6072 	2054.0569 	2607.8774 
GRO,FRE,HCN,EUR_T,TOTAL,HR	976.0966 	3004.057 	2519.6766 	1906.4712 	2623.2042 	2251.6072 	2054.0569 	2607.8774 
GRO,FRE,HCN,TPW,EU,HR	22.5 	23.9616 	37.9368 	59.8516 	69.1499 	127.68 	350.6 	449.29 
