species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
AJH,FRE_WHL,TOTAL,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE_WHL,TOTAL,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE_WHL,TOTAL,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,TOTAL,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,TOTAL,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,TOTAL,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,TOTAL,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,HCN,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,HCN,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,HCN,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,HCN,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,TOTAL,HCN,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,TOTAL,HCN,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,TOTAL,HCN,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,HCN,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,HCN,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,TOTAL,TOTAL,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,TOTAL,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,TOTAL,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,TOTAL,TOTAL,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
