species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
ATB,TOTAL,HCN,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR_T,RO,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,TOTAL,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
BLU,FRE,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	3405.7479 	: 	0 	: 	: 	: 	: 	567.2471 
BLU,FRE,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	3405.7479 	: 	0 	: 	: 	: 	: 	567.2471 
BLU,FRE,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	3405.7479 	: 	0 	: 	: 	: 	: 	567.2471 
BLU,FRE,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	3405.7479 	: 	: 	: 	: 	: 	: 	2836.2357 
BLU,FRE,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	3405.7479 	: 	: 	: 	: 	: 	: 	2836.2357 
BLU,FRE,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	3405.7479 	: 	: 	: 	: 	: 	: 	2836.2357 
