species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
AMB,FRE_WHL,HCN,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
