species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ALC,FRO_FIL,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	10232.2167 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	637.164 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_GUT,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	16.059 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,TOTAL,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALF,FRO,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	27823.2142 	: 	: 	: 
ALF,FRO,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	726.9462 	: 	366.0949 	: 	: 	: 
ALF,FRO,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	76 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_OTH,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_OTH,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26026.4117 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.4856 	: 	: 	: 
ALF,FRO_OTH,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_OTH,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_OTH,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	: 	: 	: 
ALF,FRO_WHL,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	: 	: 	7414.8512 	: 	1796.8025 	: 	: 	: 
