species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ANE,FRO_NSP,HCN,EUR,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,EUR_T,BG,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,EUR_T,EU,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,EUR_T,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,TPW,BG,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,TPW,EU,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,TPW,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR,BG,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR,EU,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR_T,BG,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR_T,EU,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,EUR_T,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,TPW,BG,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,TPW,EU,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,TOTAL,TPW,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,TOTAL,HCN,EUR,BG,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,HCN,EUR,EU,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,HCN,EUR,TOTAL,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,HCN,EUR_T,BG,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,HCN,EUR_T,EU,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,HCN,EUR_T,TOTAL,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,HCN,TPW,BG,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,TOTAL,HCN,TPW,EU,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,TOTAL,HCN,TPW,TOTAL,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,TOTAL,TOTAL,EUR,BG,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,TOTAL,EUR,EU,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,TOTAL,EUR,TOTAL,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12329.4812 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,TOTAL,TOTAL,EUR_T,BG,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,TOTAL,EUR_T,EU,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,TOTAL,EUR_T,TOTAL,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	684.9712 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,TOTAL,TOTAL,TPW,BG,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,TOTAL,TOTAL,TPW,EU,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,TOTAL,TOTAL,TPW,TOTAL,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	18 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANF,FRE,HCN,EUR,BG,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,EU,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,TOTAL,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,BG,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,EU,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,TOTAL,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,BG,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE,HCN,TPW,EU,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE,HCN,TPW,TOTAL,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE,TOTAL,EUR,BG,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,EU,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,TOTAL,BG	: 	: 	57.2656 	0 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,BG,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,EU,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,TOTAL,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,BG,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE,TOTAL,TPW,EU,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE,TOTAL,TPW,TOTAL,BG	: 	: 	0.056 	0 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE_GUT,HCN,EUR,BG,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,EUR,EU,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,EUR,TOTAL,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,EUR_T,BG,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,TPW,BG,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,TPW,EU,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,HCN,TPW,TOTAL,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,EUR,BG,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,EUR,EU,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,EUR,TOTAL,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,TPW,BG,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,TPW,EU,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_GUT,TOTAL,TPW,TOTAL,BG	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR,BG,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR,EU,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR,TOTAL,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR_T,BG,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR_T,EU,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,EUR_T,TOTAL,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,HCN,TPW,BG,BG	: 	: 	0.056 	: 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE_WHL,HCN,TPW,EU,BG	: 	: 	0.056 	: 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE_WHL,HCN,TPW,TOTAL,BG	: 	: 	0.056 	: 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
ANF,FRE_WHL,TOTAL,EUR,BG,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,EUR,EU,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,EUR,TOTAL,BG	: 	: 	57.2656 	: 	: 	: 	: 	1840.679 	766.9496 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,EUR_T,BG,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,EUR_T,EU,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,EUR_T,TOTAL,BG	: 	: 	1022.5994 	: 	: 	: 	: 	1533.8992 	2556.4986 	: 	: 	: 	: 	: 
ANF,FRE_WHL,TOTAL,TPW,BG,BG	: 	: 	0.056 	: 	: 	: 	0.1 	1.2 	0.3 	0.2 	0 	0.2 	: 	: 
