species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
AMB,FRE,HCN,EUR_T,TOTAL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,EL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,EU,EL	491.6 p	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,TOTAL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,EU,EL	9555.8 p	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,TOTAL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,EL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,EU,EL	491.6 p	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,TOTAL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,EU,EL	9555.8 p	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,TOTAL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,EL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,EU,EL	491.6 p	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,TOTAL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,EU,EL	9555.8 p	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,TOTAL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,EL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,EU,EL	491.6 p	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,TOTAL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,EU,EL	9555.8 p	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR_T,TOTAL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,EL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,EU,EL	491.6 p	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,HCN,TPW,TOTAL,EL	491.6 	507.2 	468.1 	395.24 	458.69 	582.13 	516.22 	313.19 	439.85 	449.45 	381.78 	413.15 	441.17 	418.07 	296.78 	258.42 	322.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,TOTAL,TOTAL,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
