species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ALB,FRO,HCN,EUR,EU,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	50863.41 	62440 	4376.27 	30400 	21199.9998 	39200 	94599.9982 	32.2772 	128608.097 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,EUR,IT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	50863.41 	62440 	4376.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,EUR,TOTAL,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	50863.41 	62440 	4376.27 	30400 	21199.9998 	39200 	94599.9982 	32.2772 	128608.097 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,EUR_T,EU,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1449.1 	1400 	1411.7 	1600 	1514.2857 	1400 	1603.3898 	0.8494 	2338.329 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,EUR_T,IT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1449.1 	1400 	1411.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,EUR_T,TOTAL,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1449.1 	1400 	1411.7 	1600 	1514.2857 	1400 	1603.3898 	0.8494 	2338.329 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,TPW,EU,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.1 	44.6 	3.1 	19 	14 	28 	59 	38 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,TPW,IT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.1 	44.6 	3.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,HCN,TPW,TOTAL,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.1 	44.6 	3.1 	19 	14 	28 	59 	38 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,IND,EUR,EU,IT	: 	25610.67 	: 	43911.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRO,IND,EUR,IT,IT	: 	25610.67 	: 	43911.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
