species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
COD,FRE_GUT,HCN,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,TOTAL,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,HCN,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,TOTAL,TOTAL,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR,EU,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR,FI,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR,TOTAL,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR_T,EU,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR_T,FI,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,EUR_T,TOTAL,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,TPW,EU,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,TPW,FI,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,HCN,TPW,TOTAL,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR,EU,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR,FI,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR,TOTAL,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR_T,EU,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR_T,FI,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,EUR_T,TOTAL,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,TPW,EU,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,TPW,FI,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE,TOTAL,TPW,TOTAL,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR,EU,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR,FI,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR,TOTAL,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR_T,EU,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR_T,FI,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,EUR_T,TOTAL,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,TPW,EU,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,TPW,FI,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,HCN,TPW,TOTAL,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR,EU,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR,FI,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR,TOTAL,FI	8480 	8168 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR_T,EU,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR_T,FI,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,EUR_T,TOTAL,FI	8000 	8000 	: 	: 	4000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,TPW,EU,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ELE,FRE_WHL,TOTAL,TPW,FI,FI	1.06 	1.021 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
