species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 
F53,FRE_NSP,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F53,FRE_NSP,TOTAL,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F53,FRE_NSP,TOTAL,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F53,FRE_NSP,TOTAL,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F53,FRE_WHL,HCN,EUR,EU,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,EUR,SI,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,EUR,TOTAL,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,TPW,EU,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,TPW,SI,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,HCN,TPW,TOTAL,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR,EU,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR,SI,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR,TOTAL,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,TPW,EU,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,TPW,SI,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,FRE_WHL,TOTAL,TPW,TOTAL,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR,EU,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR,SI,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR,TOTAL,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,HCN,TPW,EU,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F53,TOTAL,HCN,TPW,SI,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F53,TOTAL,HCN,TPW,TOTAL,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F53,TOTAL,TOTAL,EUR,EU,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,EUR,SI,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,EUR,TOTAL,SI	: 	: 	: 	0 	843 	880 	: 	0 	754 	: 	51.7 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	8430 	8800 	: 	: 	7540 	: 	517 	: 	: 	: 	: 	: 	: 
F53,TOTAL,TOTAL,TPW,EU,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F53,TOTAL,TOTAL,TPW,SI,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F53,TOTAL,TOTAL,TPW,TOTAL,SI	: 	: 	: 	0 	0.1 	0.1 	: 	0 	0.1 	: 	0.1 	: 	: 	0 	0 	0 	0 
F54,FRE,HCN,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,HCN,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE,TOTAL,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,HCN,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,FRE_WHL,TOTAL,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,HCN,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	169.2 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	: 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,TPW,EU,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,TPW,SI,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F54,TOTAL,TOTAL,TPW,TOTAL,SI	: 	: 	: 	0 	0 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,HCN,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE,TOTAL,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,HCN,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,FRE_WHL,TOTAL,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,HCN,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	754 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,TPW,EU,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,TPW,SI,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F55,TOTAL,TOTAL,TPW,TOTAL,SI	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR,EU,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR,SI,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR,TOTAL,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR_T,EU,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR_T,SI,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,HCN,EUR_T,TOTAL,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,HCN,TPW,EU,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE,HCN,TPW,SI,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE,HCN,TPW,TOTAL,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE,TOTAL,EUR,EU,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,EUR,SI,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,EUR,TOTAL,SI	7700 	836 	3900 	3800 	3129 	1760 	1688 	19250 	49764 	2594.4 	3050.3 	779.8 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,EUR_T,EU,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,EUR_T,SI,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,EUR_T,TOTAL,SI	11000 	8360 	7800 	9500 	7822.5 	8800 	8440 	7700 	7540 	564 	517 	557 	: 	: 	: 	: 	: 
F56,FRE,TOTAL,TPW,EU,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE,TOTAL,TPW,SI,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE,TOTAL,TPW,TOTAL,SI	0.7 	0.1 	0.5 	0.4 	0.4 	0.2 	0.2 	2.5 	6.6 	4.6 	5.9 	1.4 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,HCN,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,HCN,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,TOTAL,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,TOTAL,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
F56,FRE_NSP,TOTAL,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	1.3 	1.8 	0 
