species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 
AMB,FRE_WHL,HCN,EUR_T,TOTAL,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,EU,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,SI,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,TPW,TOTAL,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,EU,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,SI,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR,TOTAL,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,EU,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,SI,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,EU,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,SI,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,TOTAL,TPW,TOTAL,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,EU,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,TOTAL,HCN,EUR,SI,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
