species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
F32,FRO_GUH,HCN,EUR,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	187120.3925 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	286706.9108 	115309.8881 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	188774.7218 	209516.007 	: 	1851267.5215 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,EE,IS	: 	: 	: 	: 	: 	: 	: 	284.4753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,EFTA,IS	1388741.4698 	811418.9401 	930604.4161 	1142721.6256 	2176744.0807 	1554632.2445 	2270049.3602 	3294378.1023 	3172170.8508 	2359453.6502 	6099171.4882 	8013655.7528 	2695560.1074 	1053917.3182 	1197624.8729 	1166371.1857 	3932136.3107 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,EU,IS	: 	: 	: 	86809.6032 	: 	: 	148729.824 	284.4753 	187120.3925 	223469.373 	209516.007 	: 	1851267.5215 	553487.7767 	64326.4969 	286706.9108 	115309.8881 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,IS,IS	1388741.4698 	811418.9401 	930604.4161 	1142721.6256 	2176744.0807 	1544608.0375 	2222720.2129 	3294378.1023 	3172170.8508 	2359453.6502 	5137077.7459 	7471503.1551 	2695560.1074 	1053917.3182 	1197624.8729 	1166371.1857 	3489519.1715 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,NO,IS	: 	: 	: 	: 	: 	10024.207 	47329.1473 	: 	: 	: 	962093.7422 	542152.5977 	: 	: 	: 	: 	442617.1392 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,TOTAL,IS	1388741.4698 	811418.9401 	930604.4161 	1229531.2288 	2176744.0807 	1554632.2445 	2418779.1842 	3294662.5776 	3359291.2433 	2582923.0232 	6308687.4951 	8013655.7528 	4546827.6289 	1607405.0949 	1261951.3698 	1453078.0965 	4047446.1988 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR,UK,IS	: 	: 	: 	86809.6032 	: 	: 	148729.824 	: 	: 	34694.6512 	: 	: 	: 	553487.7767 	64326.4969 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	2336.0848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2203.7426 	2585.4235 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	2413.999 	2874.0193 	: 	3183.0597 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,EE,IS	: 	: 	: 	: 	: 	: 	: 	2844.7528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,EFTA,IS	1077.379 	961.3968 	830.8968 	837.1587 	359.6141 	466.099 	1158.3066 	1344.2052 	1143.8666 	975.868 	1192.992 	1821.3682 	1044.5883 	1014.9435 	755.647 	1184.7346 	1988.941 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,EU,IS	: 	: 	: 	904.2667 	: 	: 	2368.3093 	2844.7528 	2336.0848 	2230.2333 	2874.0193 	: 	3183.0597 	2749.5667 	3332.9791 	2203.7426 	2585.4235 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,IS,IS	1077.379 	961.3968 	830.8968 	837.1587 	359.6141 	464.8063 	1150.1786 	1344.2052 	1143.8666 	975.868 	1070.6483 	1748.9474 	1044.5883 	1014.9435 	755.647 	1184.7346 	1917.0022 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,NO,IS	: 	: 	: 	: 	: 	815.6393 	1733.6684 	: 	: 	: 	3060.0946 	4242.1956 	: 	: 	: 	: 	2824.6148 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,TOTAL,IS	1077.379 	479.562 	830.8968 	841.5683 	359.6141 	466.099 	1195.8762 	1344.2664 	1177.3355 	1025.7836 	1216.625 	1821.3682 	1437.9139 	1296.6081 	786.6546 	1303.6767 	2002.1004 	: 	: 	: 	: 
F32,FRO_GUH,HCN,EUR_T,UK,IS	: 	: 	: 	904.2667 	: 	: 	2368.3093 	: 	: 	1577.0296 	: 	: 	: 	2749.5667 	3332.9791 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	80.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130.1 	44.6 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.2 	72.9 	: 	581.6 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,EE,IS	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,EFTA,IS	1289 	844 	1120 	1365 	6053 	3335.412 	1959.8 	2450.8 	2773.2 	2417.8 	5112.5 	4399.8 	2580.5 	1038.4 	1584.9 	984.5 	1977 	2668.8 	404.9 	: 	: 
F32,FRO_GUH,HCN,TPW,EU,IS	: 	: 	: 	96 	: 	: 	62.8 	0.1 	80.1 	100.2 	72.9 	: 	581.6 	201.3 	19.3 	130.1 	44.6 	: 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,IS,IS	1289 	844 	1120 	1365 	6053 	3323.122 	1932.5 	2450.8 	2773.2 	2417.8 	4798.1 	4272 	2580.5 	1038.4 	1584.9 	984.5 	1820.3 	2197.6 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,NO,IS	: 	: 	: 	: 	: 	12.29 	27.3 	: 	: 	: 	314.4 	127.8 	: 	: 	: 	: 	156.7 	471.2 	: 	: 	: 
F32,FRO_GUH,HCN,TPW,TOTAL,IS	1289 	1692 	1120 	1461 	6053 	3335.412 	2022.6 	2450.9 	2853.3 	2518 	5185.4 	4399.8 	3162.1 	1239.7 	1604.2 	1114.6 	2021.6 	2668.8 	404.9 	: 	: 
F32,FRO_GUH,HCN,TPW,UK,IS	: 	: 	: 	96 	: 	: 	62.8 	: 	: 	22 	: 	: 	: 	201.3 	19.3 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	187120.3925 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	286706.9153 	115309.8881 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	188774.7218 	209516.007 	: 	1851267.5215 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,EE,IS	: 	: 	: 	: 	: 	: 	: 	284.4753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,EFTA,IS	1388741.4698 	811418.9401 	930604.4161 	1142721.6256 	2176744.0807 	1554632.2445 	2270049.3602 	3294378.1023 	3172170.8508 	2359453.6502 	6099171.4882 	8013655.7528 	2695560.1074 	1053917.3182 	1197624.8498 	1166371.1771 	3932136.3107 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,EU,IS	: 	: 	: 	86809.6032 	: 	: 	148729.824 	284.4753 	187120.3925 	223469.373 	209516.007 	: 	1851267.5215 	553487.7767 	64326.4966 	286706.9153 	115309.8881 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,IS,IS	1388741.4698 	811418.9401 	930604.4161 	1142721.6256 	2176744.0807 	1544608.0375 	2222720.2129 	3294378.1023 	3172170.8508 	2359453.6502 	5137077.7459 	7471503.1551 	2695560.1074 	1053917.3182 	1197624.8498 	1166371.1771 	3489519.1715 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,NO,IS	: 	: 	: 	: 	: 	10024.207 	47329.1473 	: 	: 	: 	962093.7422 	542152.5977 	: 	: 	: 	: 	442617.1392 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,TOTAL,IS	1388741.4698 	811418.9401 	930604.4161 	1229531.2288 	2176744.0807 	1554632.2445 	2418779.1842 	3294662.5776 	3359291.2433 	2582923.0232 	6308687.4951 	8013655.7528 	4546827.6289 	1607405.0949 	1261951.3464 	1453078.0924 	4047446.1988 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR,UK,IS	: 	: 	: 	86809.6032 	: 	: 	148729.824 	: 	: 	34694.6512 	: 	: 	: 	553487.7767 	64326.4966 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	2336.0848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2203.7426 	2585.4235 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	2413.999 	2874.0193 	: 	3183.0597 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,EE,IS	: 	: 	: 	: 	: 	: 	: 	2844.7528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,EFTA,IS	1077.379 	961.3968 	830.8968 	837.1587 	359.6141 	466.099 	1158.3066 	1344.2052 	1143.8666 	975.868 	1192.992 	1821.3682 	1044.5883 	1014.9435 	755.6469 	1184.7346 	1988.941 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,EU,IS	: 	: 	: 	904.2667 	: 	: 	2368.3093 	2844.7528 	2336.0848 	2230.2333 	2874.0193 	: 	3183.0597 	2749.5667 	3332.9791 	2203.7426 	2585.4235 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,IS,IS	1077.379 	961.3968 	830.8968 	837.1587 	359.6141 	464.8063 	1150.1786 	1344.2052 	1143.8666 	975.868 	1070.6483 	1748.9474 	1044.5883 	1014.9435 	755.6469 	1184.7346 	1917.0022 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,NO,IS	: 	: 	: 	: 	: 	815.6393 	1733.6684 	: 	: 	: 	3060.0946 	4242.1956 	: 	: 	: 	: 	2824.6148 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,TOTAL,IS	1077.379 	479.562 	830.8968 	841.5683 	359.6141 	466.099 	1195.8762 	1344.2664 	1177.3355 	1025.7836 	1216.625 	1821.3682 	1437.9139 	1296.6081 	786.6546 	1303.6767 	2002.1004 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,EUR_T,UK,IS	: 	: 	: 	904.2667 	: 	: 	2368.3093 	: 	: 	1577.0296 	: 	: 	: 	2749.5667 	3332.9791 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,CY,IS	: 	: 	: 	: 	: 	: 	: 	: 	80.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,DE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130.1 	44.6 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.2 	72.9 	: 	581.6 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,EE,IS	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,EFTA,IS	1289 	844 	1120 	1365 	6053 	3335.412 	1959.8 	2450.8 	2773.2 	2417.8 	5112.5 	4399.8 	2580.5 	1038.4 	1584.9 	984.5 	1977 	2668.8 	404.9 	: 	: 
F32,FRO_GUH,TOTAL,TPW,EU,IS	: 	: 	: 	96 	: 	: 	62.8 	0.1 	80.1 	100.2 	72.9 	: 	581.6 	201.3 	19.3 	130.1 	44.6 	: 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,IS,IS	1289 	844 	1120 	1365 	6053 	3323.122 	1932.5 	2450.8 	2773.2 	2417.8 	4798.1 	4272 	2580.5 	1038.4 	1584.9 	984.5 	1820.3 	2197.6 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,NO,IS	: 	: 	: 	: 	: 	12.29 	27.3 	: 	: 	: 	314.4 	127.8 	: 	: 	: 	: 	156.7 	471.2 	: 	: 	: 
F32,FRO_GUH,TOTAL,TPW,TOTAL,IS	1289 	1692 	1120 	1461 	6053 	3335.412 	2022.6 	2450.9 	2853.3 	2518 	5185.4 	4399.8 	3162.1 	1239.7 	1604.2 	1114.6 	2021.6 	2668.8 	404.9 	: 	: 
F32,FRO_GUH,TOTAL,TPW,UK,IS	: 	: 	: 	96 	: 	: 	62.8 	: 	: 	22 	: 	: 	: 	201.3 	19.3 	: 	: 	: 	: 	: 	: 
F32,FRO_NFL,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3158.1 	: 	: 
F32,FRO_NFL,HCN,TPW,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	260.4 	: 	: 
F32,FRO_NFL,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3418.5 	: 	: 
F32,FRO_NFL,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3158.1 	: 	: 
F32,FRO_NFL,TOTAL,TPW,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	260.4 	: 	: 
F32,FRO_NFL,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3418.5 	: 	: 
F32,FRO_NSP,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,HCN,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,HCN,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_NSP,HCN,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_NSP,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	983.767 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517.7721 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_NSP,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	4577387.2833 	4381464.7388 	3228515.7859 	2365496.8071 	926040.4328 	931123.4487 	804628.4309 	678091.8733 	1056470.0041 	1129527.9057 	1895066.6902 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR,IS,IS	: 	: 	: 	: 	: 	: 	4577387.2833 	4381464.7388 	3228515.7859 	2365496.8071 	926040.4328 	931123.4487 	804628.4309 	678091.8733 	1056470.0041 	1129527.9057 	1895066.6902 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	4577387.2833 	4381464.7388 	3228515.7859 	2365496.8071 	926040.4328 	931123.4487 	804628.4309 	678091.8733 	1056470.0041 	1129527.9057 	1895066.6902 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	1035.4674 	1106.71 	1054.8637 	945.5935 	839.413 	899.8101 	772.4186 	515.5808 	363.3728 	373.1756 	800.4844 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	1035.4674 	1106.71 	1054.8637 	945.5935 	839.413 	899.8101 	772.4186 	515.5808 	363.3728 	373.1756 	800.4844 	: 	: 	: 	: 
F32,FRO_OTH,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	1035.4674 	1106.71 	1054.8637 	945.5935 	839.413 	899.8101 	772.4186 	515.5808 	363.3728 	373.1756 	800.4844 	: 	: 	: 	: 
F32,FRO_OTH,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	4420.6 	3959 	3060.6 	2501.6 	1103.2 	1034.8 	1041.7 	1315.2 	2907.4 	3026.8 	2367.4 	1300.1 	64740.9 	: 	: 
F32,FRO_OTH,HCN,TPW,IS,IS	: 	: 	: 	: 	: 	: 	4420.6 	3959 	3060.6 	2501.6 	1103.2 	1034.8 	1041.7 	1315.2 	2907.4 	3026.8 	2367.4 	1300.1 	: 	: 	: 
F32,FRO_OTH,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	4420.6 	3959 	3060.6 	2501.6 	1103.2 	1034.8 	1041.7 	1315.2 	2907.4 	3026.8 	2367.4 	1300.1 	64740.9 	: 	: 
F32,FRO_OTH,IND,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	2876060.8326 	2263694.9614 	2493600.4987 	2109781.8275 	2009326.6326 	2484034.5624 	1783741.5637 	1560551.7633 	1649225.0117 	2161142.3176 	2214685.7342 	: 	: 	: 	: 
F32,FRO_OTH,IND,EUR,IS,IS	: 	: 	: 	: 	: 	: 	2876060.8326 	2263694.9614 	2493600.4987 	2109781.8275 	2009326.6326 	2484034.5624 	1783741.5637 	1560551.7633 	1649225.0117 	2161142.3176 	2214685.7342 	: 	: 	: 	: 
F32,FRO_OTH,IND,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	2876060.8326 	2263694.9614 	2493600.4987 	2109781.8275 	2009326.6326 	2484034.5624 	1783741.5637 	1560551.7633 	1649225.0117 	2161142.3176 	2214685.7342 	: 	: 	: 	: 
F32,FRO_OTH,IND,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	1204.2797 	1117.0466 	1062.7346 	863.4615 	749.4411 	829.5877 	595.8915 	539.2556 	595.6461 	834.0636 	933.2065 	: 	: 	: 	: 
F32,FRO_OTH,IND,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	1204.2797 	1117.0466 	1062.7346 	863.4615 	749.4411 	829.5877 	595.8915 	539.2556 	595.6461 	834.0636 	933.2065 	: 	: 	: 	: 
F32,FRO_OTH,IND,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	1204.2797 	1117.0466 	1062.7346 	863.4615 	749.4411 	829.5877 	595.8915 	539.2556 	595.6461 	834.0636 	933.2065 	: 	: 	: 	: 
F32,FRO_OTH,IND,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	2388.2 	2026.5 	2346.4 	2443.4 	2681.1 	2994.3 	2993.4 	2893.9 	2768.8 	2591.1 	2373.2 	2055.1 	: 	: 	: 
F32,FRO_OTH,IND,TPW,IS,IS	: 	: 	: 	: 	: 	: 	2388.2 	2026.5 	2346.4 	2443.4 	2681.1 	2994.3 	2993.4 	2893.9 	2768.8 	2591.1 	2373.2 	2055.1 	: 	: 	: 
F32,FRO_OTH,IND,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	2388.2 	2026.5 	2346.4 	2443.4 	2681.1 	2994.3 	2993.4 	2893.9 	2768.8 	2591.1 	2373.2 	2055.1 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	7453448.1159 	6645159.7001 	5722116.2846 	4475278.6346 	2935367.0655 	3415158.011 	2588369.9946 	2238643.6366 	2705694.8993 	3290670.0247 	4109752.4244 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR,IS,IS	: 	: 	: 	: 	: 	: 	7453448.1159 	6645159.7001 	5722116.2846 	4475278.6346 	2935367.0655 	3415158.011 	2588369.9946 	2238643.6366 	2705694.8993 	3290670.0247 	4109752.4244 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	7453448.1159 	6645159.7001 	5722116.2846 	4475278.6346 	2935367.0655 	3415158.011 	2588369.9946 	2238643.6366 	2705694.8993 	3290670.0247 	4109752.4244 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	1094.6787 	1110.2096 	1058.2793 	905.0108 	775.6698 	847.623 	641.4637 	531.858 	476.6736 	585.7473 	866.9266 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	1094.6787 	1110.2096 	1058.2793 	905.0108 	775.6698 	847.623 	641.4637 	531.858 	476.6736 	585.7473 	866.9266 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	1094.6787 	1110.2096 	1058.2793 	905.0108 	775.6698 	847.623 	641.4637 	531.858 	476.6736 	585.7473 	866.9266 	: 	: 	: 	: 
F32,FRO_OTH,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	6808.8 	5985.5 	5407 	4945 	3784.3 	4029.1 	4035.1 	4209.1 	5676.2 	5617.9 	4740.6 	3355.2 	64740.9 	: 	: 
F32,FRO_OTH,TOTAL,TPW,IS,IS	: 	: 	: 	: 	: 	: 	6808.8 	5985.5 	5407 	4945 	3784.3 	4029.1 	4035.1 	4209.1 	5676.2 	5617.9 	4740.6 	3355.2 	: 	: 	: 
F32,FRO_OTH,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	6808.8 	5985.5 	5407 	4945 	3784.3 	4029.1 	4035.1 	4209.1 	5676.2 	5617.9 	4740.6 	3355.2 	64740.9 	: 	: 
F32,SAL,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11260 	: 
F32,SAL,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11260 	: 
F32,SAL,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1793 	: 
F32,SAL,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1793 	: 
F32,SAL,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	6 	: 
F32,SAL,HCN,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 
F32,SAL,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	6 	: 
F32,SAL,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11260 	: 
F32,SAL,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11260 	: 
F32,SAL,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1793 	: 
F32,SAL,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1793 	: 
