species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
ARU,FRE,TOTAL,EUR_T,EFTA,IS	295.2498 	412.4088 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4429 	410.0194 	180.1437 	178.3572 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,TOTAL,EUR_T,EU,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	185.4279 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR_T,IS,IS	295.2498 	412.4088 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4429 	410.0194 	180.1437 	178.3572 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,TOTAL,EUR_T,PL,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR_T,TOTAL,IS	295.2498 	391.0251 	583.1796 	669.3225 	442.6818 	581.7043 	813.1944 	565.4429 	402.2748 	180.1437 	325.6953 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,TOTAL,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,TPW,EFTA,IS	570 	540 	2211 	2385 	1700 	1895.766 	2880.2 	268.3 	310.8 	1103.1 	523.8 	263.2 	36.8 	12.5 	25.5 	24.9 	36.8 	10.6 	: 	: 	: 
ARU,FRE,TOTAL,TPW,EU,IS	: 	44 	: 	: 	: 	: 	: 	: 	11.1 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,TPW,IS,IS	570 	540 	2211 	2385 	1700 	1895.766 	2880.2 	268.3 	310.8 	1103.1 	523.8 	263.2 	36.8 	12.5 	25.5 	24.9 	36.8 	10.6 	: 	: 	: 
ARU,FRE,TOTAL,TPW,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,TPW,PL,IS	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,TPW,TOTAL,IS	570 	584 	2211 	2385 	1700 	1895.766 	2880.2 	268.3 	321.9 	1103.1 	1101.5 	263.2 	36.8 	12.5 	25.5 	24.9 	36.8 	10.6 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR,EFTA,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4342 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR,IS,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4342 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR,TOTAL,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4342 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8684 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR_T,IS,IS	: 	: 	62.3774 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8685 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8684 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,TPW,EFTA,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	0.5 	14.1 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,TPW,IS,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,HCN,TPW,TOTAL,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	0.5 	14.1 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR,EFTA,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4343 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR,IS,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4343 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR,TOTAL,IS	: 	: 	0 	: 	: 	: 	: 	778.8998 	: 	: 	: 	: 	457.3834 	: 	44.4343 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8685 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8685 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	556.357 	: 	: 	: 	: 	351.8334 	: 	88.8685 	: 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,TPW,EFTA,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	0.5 	14.1 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,TPW,IS,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	0.5 	14.1 	: 	: 	: 	: 	: 
ARU,FRE_GUT,TOTAL,TPW,TOTAL,IS	: 	: 	0 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	1.3 	: 	0.5 	14.1 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR,EFTA,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1080386.1958 	2340278.1767 	150929.4411 	103379.3202 	122697.3644 	69304.561 	166705.6423 	11078.9288 	4080.965 	17663.9482 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR,IS,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1080386.1958 	2340278.1767 	150929.4411 	103379.3202 	122697.3644 	69304.561 	166705.6423 	11078.9288 	4080.965 	17663.9482 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR,TOTAL,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1080386.1958 	2340278.1767 	150929.4411 	103379.3202 	122697.3644 	334634.4876 	166705.6423 	11078.9288 	4080.965 	17663.9482 	876.0312 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR_T,EFTA,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	629.0341 	815.8259 	565.4906 	590.4016 	325.4572 	262.2193 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR_T,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR_T,IS,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	629.0341 	815.8259 	565.4906 	590.4016 	325.4572 	262.2193 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,HCN,EUR_T,TOTAL,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	629.0341 	815.8259 	565.4906 	590.4016 	325.4572 	397.4281 	633.3801 	312.0825 	326.4772 	706.5579 	81.114 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE_WHL,HCN,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,TPW,EFTA,IS	570 	434 	2035 	2126 	1700 	1717.532 	2868.6 	266.9 	175.1 	377 	264.3 	263.2 	35.5 	12.5 	25 	10.8 	36.8 	10.6 	: 	: 	: 
ARU,FRE_WHL,HCN,TPW,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,TPW,IS,IS	570 	434 	2035 	2126 	1700 	1717.532 	2868.6 	266.9 	175.1 	377 	264.3 	263.2 	35.5 	12.5 	: 	: 	36.8 	: 	: 	: 	: 
ARU,FRE_WHL,HCN,TPW,TOTAL,IS	570 	434 	2035 	2126 	1700 	1717.532 	2868.6 	266.9 	175.1 	377 	842 	263.2 	35.5 	12.5 	25 	10.8 	36.8 	10.6 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,EFTA,IS	: 	14694.2076 	33891.7568 	28126.364 	: 	24154.7173 	1884.3028 	: 	24054.6977 	76019.1121 	24118.9161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,EU,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,IS,IS	: 	14694.2076 	33891.7568 	28126.364 	: 	24154.7173 	1884.3028 	: 	24054.6977 	76019.1121 	24118.9161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,PL,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR,TOTAL,IS	: 	20352.0796 	33891.7568 	28126.364 	: 	24154.7173 	1884.3028 	: 	26112.9474 	76019.1121 	24118.9161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	185.4279 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,EFTA,IS	: 	138.6246 	192.5668 	108.596 	: 	135.5225 	162.4399 	: 	177.2638 	104.6951 	92.9438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,EU,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	185.4279 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,IS,IS	: 	138.6246 	192.5668 	108.596 	: 	135.5225 	162.4399 	: 	177.2638 	104.6951 	92.9438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,NO,IS	: 	: 	: 	226.4781 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,PL,IS	: 	128.588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,EUR_T,TOTAL,IS	: 	135.6805 	192.5668 	108.596 	: 	135.5225 	162.4399 	: 	177.8811 	104.6951 	92.9438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,EFTA,IS	: 	106 	176 	259 	: 	178.234 	11.6 	: 	135.7 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,EU,IS	: 	44 	: 	: 	: 	: 	: 	: 	11.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,IS,IS	: 	106 	176 	259 	: 	178.234 	11.6 	: 	135.7 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE_WHL,IND,TPW,PL,IS	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
