species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
APU,TOTAL,HCN,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,TOTAL,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR,EU,LV	8.4 	8.4 	18 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR,LV,LV	8.4 	8.4 	18 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR,TOTAL,LV	8.4 	8.4 	18 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ASU,FRE,HCN,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
